group,process,phase,family,backend,dtype,size,elements,bytes,transfer_mode,iterations,elapsed_ms,per_iteration_ms,uploads,downloads,compute_passes
types,6,upload,transfer,gpu,int64,0,65536,524288,equal_cardinality,5,5.891,1.1782,5,0,0
types,6,download,transfer,gpu,int64,0,65536,524288,equal_cardinality,5,2.6769998,0.5354,0,5,0
types,6,construction,cpu_memory,cpu,uint64,0,65536,524288,equal_cardinality,5,0.023,0.0046,0,0,0
types,6,extraction,cpu_memory,cpu,uint64,0,65536,524288,equal_cardinality,5,4.903,0.9806,0,0,0
types,6,upload,transfer,gpu,uint64,0,65536,524288,equal_cardinality,5,6.025,1.205,5,0,0
types,6,download,transfer,gpu,uint64,0,65536,524288,equal_cardinality,5,2.569,0.5138,0,5,0
types,6,upload,transfer,gpu,float32,0,65536,262144,equal_bytes,5,8.044,1.6087999,5,0,0
types,6,download,transfer,gpu,float32,0,65536,262144,equal_bytes,5,2.3439999,0.46879998,0,5,0
types,6,upload,transfer,gpu,int8,0,262144,262144,equal_bytes,5,9.685,1.937,5,0,0
types,6,download,transfer,gpu,int8,0,262144,262144,equal_bytes,5,7.3970003,1.4794,0,5,0
types,6,upload,transfer,gpu,uint8,0,262144,262144,equal_bytes,5,11.9279995,2.3855999,5,0,0
types,6,download,transfer,gpu,uint8,0,262144,262144,equal_bytes,5,7.62,1.5239999,0,5,0
types,6,upload,transfer,gpu,int16,0,131072,262144,equal_bytes,5,7.795,1.559,5,0,0
types,6,download,transfer,gpu,int16,0,131072,262144,equal_bytes,5,3.98,0.796,0,5,0
types,6,upload,transfer,gpu,uint16,0,131072,262144,equal_bytes,5,7.066,1.4132,5,0,0
types,6,download,transfer,gpu,uint16,0,131072,262144,equal_bytes,5,4.152,0.8304,0,5,0
types,6,upload,transfer,gpu,int32,0,65536,262144,equal_bytes,5,5.834,1.1668,5,0,0
types,6,download,transfer,gpu,int32,0,65536,262144,equal_bytes,5,2.3739998,0.47479996,0,5,0
types,6,upload,transfer,gpu,uint32,0,65536,262144,equal_bytes,5,5.793,1.1586001,5,0,0
types,6,download,transfer,gpu,uint32,0,65536,262144,equal_bytes,5,2.52,0.504,0,5,0
types,6,upload,transfer,gpu,int64,0,32768,262144,equal_bytes,5,7.382,1.4764,5,0,0
types,6,download,transfer,gpu,int64,0,32768,262144,equal_bytes,5,1.714,0.3428,0,5,0
types,6,upload,transfer,gpu,uint64,0,32768,262144,equal_bytes,5,5.1369996,1.0273999,5,0,0
types,6,download,transfer,gpu,uint64,0,32768,262144,equal_bytes,5,1.7,0.34,0,5,0
types,7,construction,cpu_memory,cpu,float32,0,65536,262144,equal_cardinality,5,0.04,0.007999999,0,0,0
types,7,extraction,cpu_memory,cpu,float32,0,65536,262144,equal_cardinality,5,4.692,0.9384,0,0,0
types,7,upload,transfer,gpu,float32,0,65536,262144,equal_cardinality,5,6.993,1.3986,5,0,0
types,7,download,transfer,gpu,float32,0,65536,262144,equal_cardinality,5,2.319,0.4638,0,5,0
types,7,construction,cpu_memory,cpu,int8,0,65536,65536,equal_cardinality,5,0.026,0.0052,0,0,0
types,7,extraction,cpu_memory,cpu,int8,0,65536,65536,equal_cardinality,5,4.955,0.991,0,0,0
types,7,upload,transfer,gpu,int8,0,65536,65536,equal_cardinality,5,6.083,1.2166001,5,0,0
types,7,download,transfer,gpu,int8,0,65536,65536,equal_cardinality,5,2.477,0.4954,0,5,0
types,7,construction,cpu_memory,cpu,uint8,0,65536,65536,equal_cardinality,5,0.028,0.0056000003,0,0,0
types,7,extraction,cpu_memory,cpu,uint8,0,65536,65536,equal_cardinality,5,4.864,0.97279996,0,0,0
types,7,upload,transfer,gpu,uint8,0,65536,65536,equal_cardinality,5,5.7879996,1.1575999,5,0,0
types,7,download,transfer,gpu,uint8,0,65536,65536,equal_cardinality,5,2.531,0.50619996,0,5,0
types,7,construction,cpu_memory,cpu,int16,0,65536,131072,equal_cardinality,5,0.031,0.0061999997,0,0,0
types,7,extraction,cpu_memory,cpu,int16,0,65536,131072,equal_cardinality,5,4.961,0.9922,0,0,0
types,7,upload,transfer,gpu,int16,0,65536,131072,equal_cardinality,5,6.122,1.2244,5,0,0
types,7,download,transfer,gpu,int16,0,65536,131072,equal_cardinality,5,2.542,0.5084,0,5,0
types,7,construction,cpu_memory,cpu,uint16,0,65536,131072,equal_cardinality,5,0.029000001,0.0058000004,0,0,0
types,7,extraction,cpu_memory,cpu,uint16,0,65536,131072,equal_cardinality,5,4.87,0.974,0,0,0
types,7,upload,transfer,gpu,uint16,0,65536,131072,equal_cardinality,5,7.8959994,1.5791999,5,0,0
types,7,download,transfer,gpu,uint16,0,65536,131072,equal_cardinality,5,2.4610002,0.49220005,0,5,0
types,7,construction,cpu_memory,cpu,int32,0,65536,262144,equal_cardinality,5,0.023,0.0046,0,0,0
types,7,extraction,cpu_memory,cpu,int32,0,65536,262144,equal_cardinality,5,4.994,0.9988,0,0,0
types,7,upload,transfer,gpu,int32,0,65536,262144,equal_cardinality,5,8.149,1.6298001,5,0,0
types,7,download,transfer,gpu,int32,0,65536,262144,equal_cardinality,5,2.552,0.5104,0,5,0
types,7,construction,cpu_memory,cpu,uint32,0,65536,262144,equal_cardinality,5,0.022,0.0044,0,0,0
types,7,extraction,cpu_memory,cpu,uint32,0,65536,262144,equal_cardinality,5,4.911,0.98219997,0,0,0
types,7,upload,transfer,gpu,uint32,0,65536,262144,equal_cardinality,5,5.864,1.1728,5,0,0
types,7,download,transfer,gpu,uint32,0,65536,262144,equal_cardinality,5,2.465,0.49299997,0,5,0
types,7,construction,cpu_memory,cpu,int64,0,65536,524288,equal_cardinality,5,0.023,0.0046,0,0,0
types,7,extraction,cpu_memory,cpu,int64,0,65536,524288,equal_cardinality,5,4.782,0.95640004,0,0,0
types,7,upload,transfer,gpu,int64,0,65536,524288,equal_cardinality,5,5.991,1.1982,5,0,0
