  state[60]: position=(1.65, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[61]: position=(1.75, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[62]: position=(1.85, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[63]: position=(1.95, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[64]: position=(2.05, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[65]: position=(2.15, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[66]: position=(2.25, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[67]: position=(2.3500001, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[68]: position=(2.45, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[69]: position=(2.55, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[70]: position=(2.65, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[71]: position=(2.75, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[72]: position=(2.8500001, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[73]: position=(2.95, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[74]: position=(3.05, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[75]: position=(3.15, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[76]: position=(3.25, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[77]: position=(3.3500001, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[78]: position=(3.45, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[79]: position=(3.55, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[80]: position=(3.65, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[81]: position=(3.75, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[82]: position=(3.8500001, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[83]: position=(3.95, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[84]: position=(4.05, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[85]: position=(4.15, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[86]: position=(4.25, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[87]: position=(4.35, -2.95), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[88]: position=(-4.35, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[89]: position=(-4.25, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[90]: position=(-4.15, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[91]: position=(-4.05, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[92]: position=(-3.95, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[93]: position=(-3.8500001, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[94]: position=(-3.75, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[95]: position=(-3.65, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[96]: position=(-3.55, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[97]: position=(-3.45, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[98]: position=(-3.3500001, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[99]: position=(-3.25, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[100]: position=(-3.15, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[101]: position=(-3.05, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[102]: position=(-2.95, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[103]: position=(-2.8500001, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[104]: position=(-2.75, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[105]: position=(-2.65, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[106]: position=(-2.55, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[107]: position=(-2.45, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[108]: position=(-2.3500001, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[109]: position=(-2.25, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[110]: position=(-2.15, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[111]: position=(-2.05, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[112]: position=(-1.95, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[113]: position=(-1.85, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[114]: position=(-1.75, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[115]: position=(-1.65, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[116]: position=(-1.5500001, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[117]: position=(-1.45, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[118]: position=(-1.35, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[119]: position=(-1.25, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[120]: position=(-1.15, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[121]: position=(-1.0500001, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[122]: position=(-0.95, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[123]: position=(-0.85, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[124]: position=(-0.75, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[125]: position=(-0.65000004, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[126]: position=(-0.55, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[127]: position=(-0.45000002, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[128]: position=(-0.35, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[129]: position=(-0.25, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[130]: position=(-0.15, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[131]: position=(-0.05, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[132]: position=(0.05, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[133]: position=(0.15, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[134]: position=(0.25, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[135]: position=(0.35, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[136]: position=(0.45000002, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
  state[137]: position=(0.55, -2.8500001), rotation=0.0, velocity=(0.0, 0.0), angular=0.0, awake=true
