family,process,phase,backend,batch,iterations,elapsed_ms,per_iteration_ms,observation,uploads,downloads,compute_passes
rnn,1,backward_cold,cpu,64,1,57.875,57.875,none,0,0,0
rnn,1,backward_hot,cpu,64,2,116.333,58.1665,none,0,0,0
rnn,1,step_sgd,cpu,64,2,6.049,3.0245,none,0,0,0
rnn,1,step_adam,cpu,64,2,29.727001,14.863501,none,0,0,0
rnn,1,loss_read,cpu,64,1,0.024,0.024,every_step,0,0,0
rnn,1,step_resident,cpu,64,2,215.948,107.974,spaced,0,0,0
rnn,1,forward_cold,gpu,64,1,50.236,50.236,none,0,0,43
rnn,1,forward_hot,gpu,64,2,97.948,48.974,none,0,0,86
rnn,1,backward_cold,gpu,64,1,122.211,122.211,none,0,0,111
rnn,1,backward_hot,gpu,64,2,248.095,124.0475,none,0,0,222
rnn,1,step_sgd,gpu,64,2,32.537,16.2685,none,0,0,30
rnn,1,step_adam,gpu,64,2,163.80501,81.902504,none,0,0,160
rnn,1,loss_read,gpu,64,1,0.42,0.42,every_step,0,1,0
rnn,1,step_resident,gpu,64,2,550.779,275.3895,spaced,0,0,486
rnn,1,step_end_to_end,gpu,64,1,229.333,229.333,every_step,7,6,173
rnn,2,construction,cpu,4,5,1.5999999,0.32,none,0,0,0
rnn,2,forward_cold,cpu,4,1,1.955,1.955,none,0,0,0
rnn,2,forward_hot,cpu,4,3,5.853,1.9510001,none,0,0,0
rnn,2,backward_cold,cpu,4,1,5.5030003,5.5030003,none,0,0,0
rnn,2,backward_hot,cpu,4,3,17.221,5.7403336,none,0,0,0
rnn,2,step_sgd,cpu,4,3,1.859,0.61966664,none,0,0,0
rnn,2,step_adam,cpu,4,3,9.262,3.0873334,none,0,0,0
rnn,2,loss_read,cpu,4,1,0.005,0.005,every_step,0,0,0
rnn,2,step_resident,cpu,4,3,40.518,13.5060005,spaced,0,0,0
rnn,2,forward_cold,gpu,4,1,27.58,27.58,none,0,0,43
rnn,2,forward_hot,gpu,4,3,82.425995,27.475332,none,0,0,129
rnn,2,backward_cold,gpu,4,1,72.801,72.801,none,0,0,111
rnn,2,backward_hot,gpu,4,3,215.35399,71.78466,none,0,0,333
rnn,2,step_sgd,gpu,4,3,32.632,10.877334,none,0,0,50
rnn,2,step_adam,gpu,4,3,149.308,49.769333,none,0,0,240
rnn,2,loss_read,gpu,4,1,0.24,0.24,every_step,0,1,0
rnn,2,step_resident,gpu,4,3,539.425,179.80833,spaced,0,0,729
rnn,2,step_end_to_end,gpu,4,1,144.98401,144.98401,every_step,7,6,173
rnn,2,construction,cpu,16,5,4.3310003,0.8662001,none,0,0,0
rnn,2,forward_cold,cpu,16,1,9.332001,9.332001,none,0,0,0
rnn,2,forward_hot,cpu,16,3,27.95,9.316667,none,0,0,0
rnn,2,backward_cold,cpu,16,1,21.949001,21.949001,none,0,0,0
rnn,2,backward_hot,cpu,16,3,67.387,22.462334,none,0,0,0
rnn,2,step_sgd,cpu,16,3,5.898,1.966,none,0,0,0
rnn,2,step_adam,cpu,16,3,27.018002,9.0060005,none,0,0,0
rnn,2,loss_read,cpu,16,1,0.015,0.015,every_step,0,0,0
rnn,2,step_resident,cpu,16,3,135.12599,45.041996,spaced,0,0,0
rnn,2,forward_cold,gpu,16,1,39.875,39.875,none,0,0,43
rnn,2,forward_hot,gpu,16,3,117.40099,39.133663,none,0,0,129
rnn,2,backward_cold,gpu,16,1,96.598,96.598,none,0,0,111
rnn,2,backward_hot,gpu,16,3,298.67102,99.55701,none,0,0,333
rnn,2,step_sgd,gpu,16,3,47.919,15.973,none,0,0,50
rnn,2,step_adam,gpu,16,3,208.494,69.498,none,0,0,240
rnn,2,loss_read,gpu,16,1,0.35300002,0.35300002,every_step,0,1,0
rnn,2,step_resident,gpu,16,3,729.473,243.15767,spaced,0,0,729
rnn,2,step_end_to_end,gpu,16,1,202.125,202.125,every_step,7,6,173
rnn,2,construction,cpu,64,5,9.307,1.8614,none,0,0,0
rnn,2,forward_cold,cpu,64,1,28.933,28.933,none,0,0,0
rnn,2,forward_hot,cpu,64,2,57.77,28.885,none,0,0,0
rnn,2,backward_cold,cpu,64,1,59.542,59.542,none,0,0,0
rnn,2,backward_hot,cpu,64,2,118.948,59.474,none,0,0,0
rnn,2,step_sgd,cpu,64,2,6.234,3.117,none,0,0,0
rnn,2,step_adam,cpu,64,2,30.692,15.346,none,0,0,0
rnn,2,loss_read,cpu,64,1,0.024999999,0.024999999,every_step,0,0,0
rnn,2,step_resident,cpu,64,2,213.112,106.556,spaced,0,0,0
rnn,2,forward_cold,gpu,64,1,50.31,50.31,none,0,0,43
rnn,2,forward_hot,gpu,64,2,96.961,48.4805,none,0,0,86
rnn,2,backward_cold,gpu,64,1,128.74501,128.74501,none,0,0,111
rnn,2,backward_hot,gpu,64,2,254.75401,127.37701,none,0,0,222
rnn,2,step_sgd,gpu,64,2,34.981003,17.490501,none,0,0,30
rnn,2,step_adam,gpu,64,2,172.675,86.3375,none,0,0,160
rnn,2,loss_read,gpu,64,1,0.407,0.407,every_step,0,1,0
rnn,2,step_resident,gpu,64,2,559.947,279.9735,spaced,0,0,486
rnn,2,step_end_to_end,gpu,64,1,233.323,233.323,every_step,7,6,173
rnn,3,construction,cpu,4,5,1.576,0.3152,none,0,0,0
rnn,3,forward_cold,cpu,4,1,1.9720001,1.9720001,none,0,0,0
rnn,3,forward_hot,cpu,4,3,5.85,1.9499999,none,0,0,0
rnn,3,backward_cold,cpu,4,1,5.428,5.428,none,0,0,0
rnn,3,backward_hot,cpu,4,3,16.956,5.652,none,0,0,0
rnn,3,step_sgd,cpu,4,3,1.866,0.62200004,none,0,0,0
rnn,3,step_adam,cpu,4,3,8.861001,2.953667,none,0,0,0
rnn,3,loss_read,cpu,4,1,0.006,0.006,every_step,0,0,0
rnn,3,step_resident,cpu,4,3,39.542,13.180667,spaced,0,0,0
rnn,3,forward_cold,gpu,4,1,27.626,27.626,none,0,0,43
rnn,3,forward_hot,gpu,4,3,82.726,27.575333,none,0,0,129
rnn,3,backward_cold,gpu,4,1,72.975,72.975,none,0,0,111
rnn,3,backward_hot,gpu,4,3,209.068,69.68933,none,0,0,333
rnn,3,step_sgd,gpu,4,3,31.889,10.629666,none,0,0,50
rnn,3,step_adam,gpu,4,3,154.312,51.437332,none,0,0,240
rnn,3,loss_read,gpu,4,1,0.235,0.235,every_step,0,1,0
rnn,3,step_resident,gpu,4,3,527.955,175.985,spaced,0,0,729
rnn,3,step_end_to_end,gpu,4,1,138.65399,138.65399,every_step,7,6,173
rnn,3,construction,cpu,16,5,4.078,0.81560004,none,0,0,0
rnn,3,forward_cold,cpu,16,1,9.133,9.133,none,0,0,0
rnn,3,forward_hot,cpu,16,3,27.234,9.078,none,0,0,0
rnn,3,backward_cold,cpu,16,1,21.387,21.387,none,0,0,0
rnn,3,backward_hot,cpu,16,3,66.647,22.215668,none,0,0,0
rnn,3,step_sgd,cpu,16,3,5.8650002,1.955,none,0,0,0
rnn,3,step_adam,cpu,16,3,26.857,8.952333,none,0,0,0
rnn,3,loss_read,cpu,16,1,0.014,0.014,every_step,0,0,0
rnn,3,step_resident,cpu,16,3,133.343,44.447666,spaced,0,0,0
rnn,3,forward_cold,gpu,16,1,39.035,39.035,none,0,0,43
rnn,3,forward_hot,gpu,16,3,116.624,38.87467,none,0,0,129
rnn,3,backward_cold,gpu,16,1,100.046,100.046,none,0,0,111
rnn,3,backward_hot,gpu,16,3,294.93698,98.312325,none,0,0,333
rnn,3,step_sgd,gpu,16,3,45.772,15.257333,none,0,0,50
rnn,3,step_adam,gpu,16,3,211.18501,70.395004,none,0,0,240
rnn,3,loss_read,gpu,16,1,0.33400002,0.33400002,every_step,0,1,0
rnn,3,step_resident,gpu,16,3,700.21497,233.40498,spaced,0,0,729
rnn,3,step_end_to_end,gpu,16,1,192.83899,192.83899,every_step,7,6,173
rnn,3,construction,cpu,64,5,8.68,1.7360001,none,0,0,0
rnn,3,forward_cold,cpu,64,1,28.116999,28.116999,none,0,0,0
rnn,3,forward_hot,cpu,64,2,56.071,28.0355,none,0,0,0
rnn,3,backward_cold,cpu,64,1,56.855,56.855,none,0,0,0
rnn,3,backward_hot,cpu,64,2,114.585,57.2925,none,0,0,0
rnn,3,step_sgd,cpu,64,2,5.81,2.905,none,0,0,0
rnn,3,step_adam,cpu,64,2,28.473001,14.236501,none,0,0,0
rnn,3,loss_read,cpu,64,1,0.024,0.024,every_step,0,0,0
rnn,3,step_resident,cpu,64,2,206.621,103.3105,spaced,0,0,0
rnn,3,forward_cold,gpu,64,1,50.146,50.146,none,0,0,43
rnn,3,forward_hot,gpu,64,2,97.459,48.7295,none,0,0,86
rnn,3,backward_cold,gpu,64,1,122.099,122.099,none,0,0,111
rnn,3,backward_hot,gpu,64,2,249.94101,124.970505,none,0,0,222
rnn,3,step_sgd,gpu,64,2,34.747,17.3735,none,0,0,30
rnn,3,step_adam,gpu,64,2,167.126,83.563,none,0,0,160
rnn,3,loss_read,gpu,64,1,0.392,0.392,every_step,0,1,0
rnn,3,step_resident,gpu,64,2,551.877,275.9385,spaced,0,0,486
rnn,3,step_end_to_end,gpu,64,1,224.316,224.316,every_step,7,6,173
rnn,4,construction,cpu,4,5,1.5780001,0.3156,none,0,0,0
rnn,4,forward_cold,cpu,4,1,1.951,1.951,none,0,0,0
rnn,4,forward_hot,cpu,4,3,5.887,1.9623333,none,0,0,0
rnn,4,backward_cold,cpu,4,1,5.5550003,5.5550003,none,0,0,0
rnn,4,backward_hot,cpu,4,3,17.167,5.7223334,none,0,0,0
rnn,4,step_sgd,cpu,4,3,1.8879999,0.6293333,none,0,0,0
rnn,4,step_adam,cpu,4,3,9.023001,3.0076668,none,0,0,0
rnn,4,loss_read,cpu,4,1,0.004,0.004,every_step,0,0,0
rnn,4,step_resident,cpu,4,3,39.987003,13.329001,spaced,0,0,0
rnn,4,forward_cold,gpu,4,1,28.532,28.532,none,0,0,43
rnn,4,forward_hot,gpu,4,3,83.093,27.697668,none,0,0,129
rnn,4,backward_cold,gpu,4,1,71.051,71.051,none,0,0,111
rnn,4,backward_hot,gpu,4,3,208.173,69.391,none,0,0,333
rnn,4,step_sgd,gpu,4,3,33.527,11.175667,none,0,0,50
rnn,4,step_adam,gpu,4,3,158.535,52.845,none,0,0,240
rnn,4,loss_read,gpu,4,1,0.247,0.247,every_step,0,1,0
rnn,4,step_resident,gpu,4,3,518.25305,172.75102,spaced,0,0,729
rnn,4,step_end_to_end,gpu,4,1,138.74599,138.74599,every_step,7,6,173
rnn,4,construction,cpu,16,5,4.152,0.8304,none,0,0,0
rnn,4,forward_cold,cpu,16,1,9.0789995,9.0789995,none,0,0,0
rnn,4,forward_hot,cpu,16,3,27.217999,9.072666,none,0,0,0
rnn,4,backward_cold,cpu,16,1,21.38,21.38,none,0,0,0
rnn,4,backward_hot,cpu,16,3,65.509995,21.836664,none,0,0,0
rnn,4,step_sgd,cpu,16,3,5.601,1.867,none,0,0,0
