agents,wake_percent,strategy,process,woken,warmup,frames,elapsed_ms,per_frame_ms,condition_calls,action_calls,node_visits,queue_size,checksum,tree_nodes,tree_depth,root_width
1000,10,root,4,100,100,1000,568.411,0.568411,4000000,1000000,10000000,100,5050000,11,5,2
1000,10,root,5,100,100,1000,564.924,0.564924,4000000,1000000,10000000,100,5050000,11,5,2
1000,10,root,6,100,100,1000,546.33704,0.546337,4000000,1000000,10000000,100,5050000,11,5,2
1000,10,root,7,100,100,1000,546.455,0.546455,4000000,1000000,10000000,100,5050000,11,5,2
1000,10,resume,1,100,100,1000,87.376,0.087376,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,2,100,100,1000,86.457,0.086457,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,3,100,100,1000,87.021996,0.087022,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,4,100,100,1000,86.559,0.086559,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,5,100,100,1000,91.889,0.091889,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,6,100,100,1000,85.499,0.085499,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,7,100,100,1000,95.733,0.095733,0,1000000,1000000,100,5050000,11,5,2
1000,10,event,1,100,100,1000,4.8019996,0.004802,0,100000,100000,100,5050000,11,5,2
1000,10,event,2,100,100,1000,4.834,0.004834,0,100000,100000,100,5050000,11,5,2
1000,10,event,3,100,100,1000,4.821,0.004821,0,100000,100000,100,5050000,11,5,2
1000,10,event,4,100,100,1000,4.805,0.004805,0,100000,100000,100,5050000,11,5,2
1000,10,event,5,100,100,1000,4.9430003,0.004943,0,100000,100000,100,5050000,11,5,2
1000,10,event,6,100,100,1000,4.785,0.004785,0,100000,100000,100,5050000,11,5,2
1000,10,event,7,100,100,1000,4.8650002,0.004865,0,100000,100000,100,5050000,11,5,2
1000,10,state_machine,1,100,100,1000,0.758,0.000758,0,100000,0,100,5050000,11,5,2
1000,10,state_machine,2,100,100,1000,0.759,0.000759,0,100000,0,100,5050000,11,5,2
1000,10,state_machine,3,100,100,1000,0.764,0.000764,0,100000,0,100,5050000,11,5,2
1000,10,state_machine,4,100,100,1000,0.758,0.000758,0,100000,0,100,5050000,11,5,2
1000,10,state_machine,5,100,100,1000,0.78000003,0.00078,0,100000,0,100,5050000,11,5,2
1000,10,state_machine,6,100,100,1000,0.77099997,0.000771,0,100000,0,100,5050000,11,5,2
1000,10,state_machine,7,100,100,1000,0.763,0.000763,0,100000,0,100,5050000,11,5,2
1000,100,root,1,1000,100,1000,543.375,0.543375,4000000,1000000,10000000,1000,500500000,11,5,2
1000,100,root,2,1000,100,1000,550.828,0.550828,4000000,1000000,10000000,1000,500500000,11,5,2
1000,100,root,3,1000,100,1000,550.453,0.550453,4000000,1000000,10000000,1000,500500000,11,5,2
1000,100,root,4,1000,100,1000,550.55,0.55055,4000000,1000000,10000000,1000,500500000,11,5,2
1000,100,root,5,1000,100,1000,552.034,0.552034,4000000,1000000,10000000,1000,500500000,11,5,2
1000,100,root,6,1000,100,1000,548.559,0.548559,4000000,1000000,10000000,1000,500500000,11,5,2
1000,100,root,7,1000,100,1000,547.912,0.547912,4000000,1000000,10000000,1000,500500000,11,5,2
1000,100,resume,1,1000,100,1000,95.294,0.095294,0,1000000,1000000,1000,500500000,11,5,2
1000,100,resume,2,1000,100,1000,92.543,0.092543,0,1000000,1000000,1000,500500000,11,5,2
1000,100,resume,3,1000,100,1000,92.326004,0.092326,0,1000000,1000000,1000,500500000,11,5,2
1000,100,resume,4,1000,100,1000,87.258,0.087258,0,1000000,1000000,1000,500500000,11,5,2
1000,100,resume,5,1000,100,1000,89.352,0.089352,0,1000000,1000000,1000,500500000,11,5,2
1000,100,resume,6,1000,100,1000,88.182,0.088182,0,1000000,1000000,1000,500500000,11,5,2
1000,100,resume,7,1000,100,1000,89.668,0.089668,0,1000000,1000000,1000,500500000,11,5,2
1000,100,event,1,1000,100,1000,89.951996,0.089952,0,1000000,1000000,1000,500500000,11,5,2
1000,100,event,2,1000,100,1000,90.23399,0.090234,0,1000000,1000000,1000,500500000,11,5,2
1000,100,event,3,1000,100,1000,92.031006,0.09203101,0,1000000,1000000,1000,500500000,11,5,2
1000,100,event,4,1000,100,1000,92.993,0.092993,0,1000000,1000000,1000,500500000,11,5,2
1000,100,event,5,1000,100,1000,90.15,0.09015,0,1000000,1000000,1000,500500000,11,5,2
1000,100,event,6,1000,100,1000,92.85,0.09285,0,1000000,1000000,1000,500500000,11,5,2
1000,100,event,7,1000,100,1000,90.722,0.090722,0,1000000,1000000,1000,500500000,11,5,2
1000,100,state_machine,1,1000,100,1000,10.287,0.010287,0,1000000,0,1000,500500000,11,5,2
1000,100,state_machine,2,1000,100,1000,9.777,0.009777,0,1000000,0,1000,500500000,11,5,2
1000,100,state_machine,3,1000,100,1000,10.278999,0.010278999,0,1000000,0,1000,500500000,11,5,2
1000,100,state_machine,4,1000,100,1000,9.901,0.009901,0,1000000,0,1000,500500000,11,5,2
1000,100,state_machine,5,1000,100,1000,10.092999,0.010093,0,1000000,0,1000,500500000,11,5,2
1000,100,state_machine,6,1000,100,1000,9.925,0.009925,0,1000000,0,1000,500500000,11,5,2
1000,100,state_machine,7,1000,100,1000,9.99,0.00999,0,1000000,0,1000,500500000,11,5,2
10000,0,root,1,0,10,100,623.38696,6.2338696,4000000,1000000,10000000,0,0,11,5,2
10000,0,root,2,0,10,100,637.851,6.37851,4000000,1000000,10000000,0,0,11,5,2
10000,0,root,3,0,10,100,618.737,6.18737,4000000,1000000,10000000,0,0,11,5,2
10000,0,root,4,0,10,100,616.099,6.1609898,4000000,1000000,10000000,0,0,11,5,2
10000,0,root,5,0,10,100,632.82,6.3282,4000000,1000000,10000000,0,0,11,5,2
10000,0,root,6,0,10,100,622.168,6.22168,4000000,1000000,10000000,0,0,11,5,2
10000,0,root,7,0,10,100,650.62305,6.5062304,4000000,1000000,10000000,0,0,11,5,2
10000,0,resume,1,0,10,100,109.743,1.09743,0,1000000,1000000,0,0,11,5,2
10000,0,resume,2,0,10,100,117.981,1.17981,0,1000000,1000000,0,0,11,5,2
10000,0,resume,3,0,10,100,131.655,1.31655,0,1000000,1000000,0,0,11,5,2
10000,0,resume,4,0,10,100,102.404,1.02404,0,1000000,1000000,0,0,11,5,2
10000,0,resume,5,0,10,100,109.124,1.09124,0,1000000,1000000,0,0,11,5,2
10000,0,resume,6,0,10,100,106.886,1.06886,0,1000000,1000000,0,0,11,5,2
