family,process,phase,backend,batch,iterations,elapsed_ms,per_iteration_ms,observation,uploads,downloads,compute_passes
mlp,1,construction,cpu,4,5,1.582,0.3164,none,0,0,0
mlp,1,forward_cold,cpu,4,1,1.05,1.05,none,0,0,0
mlp,1,forward_hot,cpu,4,3,3.1030002,1.0343333,none,0,0,0
mlp,1,backward_cold,cpu,4,1,2.027,2.027,none,0,0,0
mlp,1,backward_hot,cpu,4,3,6.04,2.0133333,none,0,0,0
mlp,1,step_sgd,cpu,4,3,3.5990002,1.1996667,none,0,0,0
mlp,1,step_adam,cpu,4,3,16.196,5.3986664,none,0,0,0
mlp,1,loss_read,cpu,4,1,0.004,0.004,every_step,0,0,0
mlp,1,step_resident,cpu,4,3,26.931002,8.977,spaced,0,0,0
mlp,1,forward_cold,gpu,4,1,3.68,3.68,none,0,0,5
mlp,1,forward_hot,gpu,4,3,8.817,2.9390001,none,0,0,15
mlp,1,backward_cold,gpu,4,1,17.989,17.989,none,0,0,33
mlp,1,backward_hot,gpu,4,3,47.985,15.995,none,0,0,99
mlp,1,step_sgd,gpu,4,3,21.036001,7.0120006,none,0,0,40
mlp,1,step_adam,gpu,4,3,95.95699,31.985664,none,0,0,192
mlp,1,loss_read,gpu,4,1,0.235,0.235,every_step,0,1,0
mlp,1,step_resident,gpu,4,3,172.93701,57.64567,spaced,0,0,333
mlp,1,step_end_to_end,gpu,4,1,39.764,39.764,every_step,6,5,55
mlp,1,construction,cpu,16,5,2.302,0.46040002,none,0,0,0
mlp,1,forward_cold,cpu,16,1,4.052,4.052,none,0,0,0
mlp,1,forward_hot,cpu,16,3,12.027,4.0090003,none,0,0,0
mlp,1,backward_cold,cpu,16,1,6.513,6.513,none,0,0,0
mlp,1,backward_hot,cpu,16,3,19.866,6.6219997,none,0,0,0
mlp,1,step_sgd,cpu,16,3,4.518,1.506,none,0,0,0
mlp,1,step_adam,cpu,16,3,20.399,6.799667,none,0,0,0
mlp,1,loss_read,cpu,16,1,0.006,0.006,every_step,0,0,0
mlp,1,step_resident,cpu,16,3,54.726997,18.242332,spaced,0,0,0
mlp,1,forward_cold,gpu,16,1,3.651,3.651,none,0,0,5
mlp,1,forward_hot,gpu,16,3,8.433001,2.811,none,0,0,15
mlp,1,backward_cold,gpu,16,1,17.206,17.206,none,0,0,33
mlp,1,backward_hot,gpu,16,3,54.266,18.088667,none,0,0,99
mlp,1,step_sgd,gpu,16,3,23.093,7.6976666,none,0,0,40
mlp,1,step_adam,gpu,16,3,109.922005,36.640667,none,0,0,192
mlp,1,loss_read,gpu,16,1,0.229,0.229,every_step,0,1,0
mlp,1,step_resident,gpu,16,3,195.90799,65.302666,spaced,0,0,333
mlp,1,step_end_to_end,gpu,16,1,43.179,43.179,every_step,6,5,55
mlp,1,construction,cpu,64,5,3.526,0.7052,none,0,0,0
mlp,1,forward_cold,cpu,64,1,15.704,15.704,none,0,0,0
mlp,1,forward_hot,cpu,64,3,46.764,15.588,none,0,0,0
mlp,1,backward_cold,cpu,64,1,22.387,22.387,none,0,0,0
mlp,1,backward_hot,cpu,64,3,67.332,22.444,none,0,0,0
mlp,1,step_sgd,cpu,64,3,5.4890003,1.8296667,none,0,0,0
mlp,1,step_adam,cpu,64,3,25.22,8.406667,none,0,0,0
mlp,1,loss_read,cpu,64,1,0.01,0.01,every_step,0,0,0
mlp,1,step_resident,cpu,64,3,143.086,47.69533,spaced,0,0,0
mlp,1,forward_cold,gpu,64,1,3.9110003,3.9110003,none,0,0,5
mlp,1,forward_hot,gpu,64,3,9.224999,3.0749998,none,0,0,15
mlp,1,backward_cold,gpu,64,1,19.695002,19.695002,none,0,0,33
mlp,1,backward_hot,gpu,64,3,64.909,21.636332,none,0,0,99
mlp,1,step_sgd,gpu,64,3,26.044,8.681334,none,0,0,40
mlp,1,step_adam,gpu,64,3,120.982,40.327335,none,0,0,192
mlp,1,loss_read,gpu,64,1,0.251,0.251,every_step,0,1,0
mlp,1,step_resident,gpu,64,3,217.461,72.487,spaced,0,0,333
mlp,1,step_end_to_end,gpu,64,1,51.350002,51.350002,every_step,6,5,55
mlp,2,construction,cpu,4,5,1.593,0.3186,none,0,0,0
mlp,2,forward_cold,cpu,4,1,1.048,1.048,none,0,0,0
mlp,2,forward_hot,cpu,4,3,3.1039999,1.0346667,none,0,0,0
mlp,2,backward_cold,cpu,4,1,2.0600002,2.0600002,none,0,0,0
mlp,2,backward_hot,cpu,4,3,6.0699997,2.0233333,none,0,0,0
mlp,2,step_sgd,cpu,4,3,3.653,1.2176667,none,0,0,0
mlp,2,step_adam,cpu,4,3,16.347,5.449,none,0,0,0
mlp,2,loss_read,cpu,4,1,0.003,0.003,every_step,0,0,0
mlp,2,step_resident,cpu,4,3,26.859001,8.953,spaced,0,0,0
mlp,2,forward_cold,gpu,4,1,3.816,3.816,none,0,0,5
mlp,2,forward_hot,gpu,4,3,8.865,2.955,none,0,0,15
