agents,wake_percent,strategy,process,woken,warmup,frames,elapsed_ms,per_frame_ms,condition_calls,action_calls,node_visits,queue_size,checksum,tree_nodes,tree_depth,root_width
1000,10,root,4,100,100,1000,560.908,0.560908,4000000,1000000,10000000,100,5050000,11,5,2
1000,10,root,5,100,100,1000,541.167,0.541167,4000000,1000000,10000000,100,5050000,11,5,2
1000,10,root,6,100,100,1000,549.36395,0.549364,4000000,1000000,10000000,100,5050000,11,5,2
1000,10,root,7,100,100,1000,545.675,0.545675,4000000,1000000,10000000,100,5050000,11,5,2
1000,10,resume,1,100,100,1000,79.08,0.07908,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,2,100,100,1000,88.007,0.088007,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,3,100,100,1000,86.827,0.086827,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,4,100,100,1000,74.288,0.074288,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,5,100,100,1000,91.675995,0.091676,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,6,100,100,1000,81.175,0.081175,0,1000000,1000000,100,5050000,11,5,2
1000,10,resume,7,100,100,1000,87.115,0.087115,0,1000000,1000000,100,5050000,11,5,2
1000,10,event,1,100,100,1000,4.8929996,0.004893,0,100000,100000,100,5050000,11,5,2
1000,10,event,2,100,100,1000,4.7590003,0.004759,0,100000,100000,100,5050000,11,5,2
1000,10,event,3,100,100,1000,4.827,0.004827,0,100000,100000,100,5050000,11,5,2
1000,10,event,4,100,100,1000,4.761,0.004761,0,100000,100000,100,5050000,11,5,2
1000,10,event,5,100,100,1000,4.8199997,0.00482,0,100000,100000,100,5050000,11,5,2
1000,10,event,6,100,100,1000,4.864,0.004864,0,100000,100000,100,5050000,11,5,2
1000,10,event,7,100,100,1000,4.846,0.004846,0,100000,100000,100,5050000,11,5,2
1000,10,state_machine,1,100,100,1000,0.77099997,0.000771,0,100000,0,100,5050000,11,5,2
1000,10,state_machine,2,100,100,1000,0.825,0.000825,0,100000,0,100,5050000,11,5,2
1000,10,state_machine,3,100,100,1000,0.759,0.000759,0,100000,0,100,5050000,11,5,2
1000,10,state_machine,4,100,100,1000,0.79399997,0.000794,0,100000,0,100,5050000,11,5,2
1000,10,state_machine,5,100,100,1000,0.778,0.000778,0,100000,0,100,5050000,11,5,2
1000,10,state_machine,6,100,100,1000,0.774,0.000774,0,100000,0,100,5050000,11,5,2
1000,10,state_machine,7,100,100,1000,0.75,0.00075,0,100000,0,100,5050000,11,5,2
1000,100,root,1,1000,100,1000,541.01904,0.541019,4000000,1000000,10000000,1000,500500000,11,5,2
1000,100,root,2,1000,100,1000,570.268,0.57026803,4000000,1000000,10000000,1000,500500000,11,5,2
1000,100,root,3,1000,100,1000,544.576,0.544576,4000000,1000000,10000000,1000,500500000,11,5,2
1000,100,root,4,1000,100,1000,541.46704,0.5414671,4000000,1000000,10000000,1000,500500000,11,5,2
1000,100,root,5,1000,100,1000,542.628,0.542628,4000000,1000000,10000000,1000,500500000,11,5,2
1000,100,root,6,1000,100,1000,542.549,0.542549,4000000,1000000,10000000,1000,500500000,11,5,2
1000,100,root,7,1000,100,1000,540.749,0.540749,4000000,1000000,10000000,1000,500500000,11,5,2
1000,100,resume,1,1000,100,1000,88.225,0.088225,0,1000000,1000000,1000,500500000,11,5,2
1000,100,resume,2,1000,100,1000,86.086,0.086086,0,1000000,1000000,1000,500500000,11,5,2
