group,process,phase,family,backend,dtype,size,elements,bytes,transfer_mode,iterations,elapsed_ms,per_iteration_ms,uploads,downloads,compute_passes
types,1,construction,cpu_memory,cpu,float32,0,65536,262144,equal_cardinality,5,0.065,0.012999999,0,0,0
types,1,extraction,cpu_memory,cpu,float32,0,65536,262144,equal_cardinality,5,49.249,9.8498,0,0,0
types,1,upload,transfer,gpu,float32,0,65536,262144,equal_cardinality,5,30.079,6.0158,5,0,0
types,1,download,transfer,gpu,float32,0,65536,262144,equal_cardinality,5,17.309,3.4618,0,5,0
types,1,construction,cpu_memory,cpu,int8,0,65536,65536,equal_cardinality,5,0.105,0.021,0,0,0
types,1,extraction,cpu_memory,cpu,int8,0,65536,65536,equal_cardinality,5,63.009003,12.601801,0,0,0
types,1,upload,transfer,gpu,int8,0,65536,65536,equal_cardinality,5,43.336,8.6672,5,0,0
types,1,download,transfer,gpu,int8,0,65536,65536,equal_cardinality,5,21.95,4.3900003,0,5,0
types,1,construction,cpu_memory,cpu,uint8,0,65536,65536,equal_cardinality,5,0.18699999,0.0374,0,0,0
types,1,extraction,cpu_memory,cpu,uint8,0,65536,65536,equal_cardinality,5,57.135002,11.427,0,0,0
types,1,upload,transfer,gpu,uint8,0,65536,65536,equal_cardinality,5,50.331997,10.0664,5,0,0
types,1,download,transfer,gpu,uint8,0,65536,65536,equal_cardinality,5,16.989,3.3978,0,5,0
types,1,construction,cpu_memory,cpu,int16,0,65536,131072,equal_cardinality,5,0.067,0.0134000005,0,0,0
types,1,extraction,cpu_memory,cpu,int16,0,65536,131072,equal_cardinality,5,39.046,7.8092003,0,0,0
types,1,upload,transfer,gpu,int16,0,65536,131072,equal_cardinality,5,47.405003,9.481001,5,0,0
types,1,download,transfer,gpu,int16,0,65536,131072,equal_cardinality,5,23.34,4.668,0,5,0
types,1,construction,cpu_memory,cpu,uint16,0,65536,131072,equal_cardinality,5,0.171,0.0342,0,0,0
types,1,extraction,cpu_memory,cpu,uint16,0,65536,131072,equal_cardinality,5,56.537,11.3074,0,0,0
types,1,upload,transfer,gpu,uint16,0,65536,131072,equal_cardinality,5,39.31,7.8620005,5,0,0
types,1,download,transfer,gpu,uint16,0,65536,131072,equal_cardinality,5,19.804,3.9608002,0,5,0
types,1,construction,cpu_memory,cpu,int32,0,65536,262144,equal_cardinality,5,0.088,0.0176,0,0,0
types,1,extraction,cpu_memory,cpu,int32,0,65536,262144,equal_cardinality,5,53.494,10.6988,0,0,0
types,1,upload,transfer,gpu,int32,0,65536,262144,equal_cardinality,5,36.552998,7.3105993,5,0,0
types,1,download,transfer,gpu,int32,0,65536,262144,equal_cardinality,5,21.515001,4.3030005,0,5,0
types,1,construction,cpu_memory,cpu,uint32,0,65536,262144,equal_cardinality,5,0.229,0.0458,0,0,0
types,1,extraction,cpu_memory,cpu,uint32,0,65536,262144,equal_cardinality,5,57.537,11.5074,0,0,0
types,1,upload,transfer,gpu,uint32,0,65536,262144,equal_cardinality,5,39.189,7.8378,5,0,0
types,1,download,transfer,gpu,uint32,0,65536,262144,equal_cardinality,5,23.529001,4.7058,0,5,0
types,1,construction,cpu_memory,cpu,int64,0,65536,524288,equal_cardinality,5,0.103,0.0206,0,0,0
types,1,extraction,cpu_memory,cpu,int64,0,65536,524288,equal_cardinality,5,48.626,9.7252,0,0,0
types,1,upload,transfer,gpu,int64,0,65536,524288,equal_cardinality,5,39.999,7.9998,5,0,0
types,1,download,transfer,gpu,int64,0,65536,524288,equal_cardinality,5,26.121,5.2242002,0,5,0
types,1,construction,cpu_memory,cpu,uint64,0,65536,524288,equal_cardinality,5,0.086,0.0172,0,0,0
types,1,extraction,cpu_memory,cpu,uint64,0,65536,524288,equal_cardinality,5,63.259,12.6518,0,0,0
types,1,upload,transfer,gpu,uint64,0,65536,524288,equal_cardinality,5,47.692,9.538401,5,0,0
types,1,download,transfer,gpu,uint64,0,65536,524288,equal_cardinality,5,20.191,4.0382,0,5,0
types,1,upload,transfer,gpu,float32,0,65536,262144,equal_bytes,5,41.654,8.3308,5,0,0
types,1,download,transfer,gpu,float32,0,65536,262144,equal_bytes,5,25.172998,5.0346,0,5,0
types,1,upload,transfer,gpu,int8,0,262144,262144,equal_bytes,5,66.62,13.324,5,0,0
types,1,download,transfer,gpu,int8,0,262144,262144,equal_bytes,5,58.477,11.6954,0,5,0
types,1,upload,transfer,gpu,uint8,0,262144,262144,equal_bytes,5,68.17899,13.635798,5,0,0
types,1,download,transfer,gpu,uint8,0,262144,262144,equal_bytes,5,58.065998,11.613199,0,5,0
types,1,upload,transfer,gpu,int16,0,131072,262144,equal_bytes,5,55.641,11.1282,5,0,0
types,1,download,transfer,gpu,int16,0,131072,262144,equal_bytes,5,30.105,6.021,0,5,0
types,1,upload,transfer,gpu,uint16,0,131072,262144,equal_bytes,5,47.203,9.440599,5,0,0
types,1,download,transfer,gpu,uint16,0,131072,262144,equal_bytes,5,33.388,6.6776,0,5,0
types,1,upload,transfer,gpu,int32,0,65536,262144,equal_bytes,5,41.961,8.3921995,5,0,0
types,1,download,transfer,gpu,int32,0,65536,262144,equal_bytes,5,19.442,3.8883998,0,5,0
